author,published_at,updated_at,like_count,text
@steinum3,2024-03-19T19:05:30Z,2024-03-19T19:05:30Z,0,hey man with yours ai engineer we can do better ai engineer systems like yours and that stuff will be obsolete in a few days good luck on the way to trying pissing on the developers dna is most flexibile thing and we humans are based on that principle without general ai there is no chance to replace real devs with intuition soft skills and flexibility Cycle of ai generating better ai and more cooperating ai specs clusters starts now
@LoboPal,2024-03-19T18:24:53Z,2024-03-19T18:24:53Z,0,Hey I actually had an idea earlier today that might be a helpful benchmark a speech assistance programapp I have heard of cough drops as an existing option although I would imagine Devin could do multiple languages that humans might not have the skill set combination to do
@kmac720,2024-03-19T18:00:43Z,2024-03-19T18:00:43Z,0,Now I want to see AI jump into a complex web application thats been around for 78 years with tons of hands on it and make tweaks to an existing feature Building things from scratch without having to deal with code debt cruft existing interdependencies etc isnt really impressive to me
@bhupen1193,2024-03-19T17:48:57Z,2024-03-19T17:48:57Z,0,Devin  Devil
@rizwan6568,2024-03-19T17:28:59Z,2024-03-19T17:28:59Z,1,F Devin and cognition button
@zakop793,2024-03-19T17:06:48Z,2024-03-19T17:06:48Z,0,I am university student and I would like to try Devin so could you please see my request
@noe4154,2024-03-19T17:00:33Z,2024-03-19T17:00:33Z,0,Can Devin train a Model where it can detect corrupt public officials
@28chitranjanpatel65,2024-03-19T15:57:39Z,2024-03-19T15:57:39Z,0,Want to speak to the founder of Cognition Company All of you are making AI tools like Devin software engineer Many people are becoming unemployed If you are such a big coder then with the help of AI you can create a new planet or arrangement for living there in the universe Why dont you find a new planet AI will do whatever people are doing you are just stuck in it Find a new planet and do all this Then you will be called a big person you all are bulls
@MusafirTheWanderer,2024-03-19T15:42:47Z,2024-03-19T15:42:47Z,0,Ohh so all the time we were just echoing devins wordsHello world
@cesarbarreto704,2024-03-19T15:25:03Z,2024-03-19T15:25:03Z,0,Great Id love to try it out Please send me an instance of Devin Thx a lot
@saadrazzak5244,2024-03-19T15:16:32Z,2024-03-19T15:16:32Z,0,But can it center a div
@devjaap,2024-03-19T15:07:09Z,2024-03-19T15:07:09Z,0,Make a software which can draw crosssections of a canal or drain at every 500 feet with just all the details Given Bed level  left and right  bank levels Full supply depth free board  side slopes water slope and all other things
@Little-bird-told-me,2024-03-19T14:49:51Z,2024-03-19T14:49:51Z,0,No I dont need the malingering software engineer to build my company I can go to Devin Thanks Devin team It was about time
@gemin0i,2024-03-19T14:41:43Z,2024-03-19T14:41:43Z,0,
@Jay-qv3sh,2024-03-19T14:25:58Z,2024-03-19T14:25:58Z,0,Man this is all bullcrap most probably it would do nothing more than assisting devs Otherwise it would lay the ground work for another communist revolution
@Skull211,2024-03-19T13:48:07Z,2024-03-19T13:48:07Z,1,People be doing crazy things for some money bro Someone stop that guy
@pyrenos736,2024-03-19T13:17:16Z,2024-03-19T13:17:16Z,0,How foolish are people Especially these ones Software developers who seek to eliminate other software developers Nowadays technological progress seems to be the most important thing in life the endless optimization of every process becoming the essence of many peoples lives When one mentally spins the wheel further the life of each individual becomes insignificant and thus unnecessary as with technological progress the meaning and existence of every person can be abstracted away and replaced by AI and robots Even those who believe they are at the top and in the end only have to push buttons
@simonpmc888,2024-03-19T13:04:26Z,2024-03-19T13:04:26Z,0,Im so excited about this Could you let me try I will provide my feedback
@biro2200,2024-03-19T12:34:55Z,2024-03-19T12:34:55Z,0,Scott looks you in the eye and smiles as he knows he completely rendered you useless and took away your career
